Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
free-hugs,Free Hugs,"",fantasticheadbands,,Digital,"",true,Title,Default Title,,,,,"",0.0,shopify,-1,continue,manual,1.00,,false,false,"",https://cdn.shopify.com/s/files/1/0116/9060/6649/products/162550906892-2020-05-07-06-56-09-FreeVirtualHugs_tf.jpg?v=1588866255,1,,false,,,,,,,,,,,,,,,,,lb,,,,,active
summer-watermelon-headbands-diy-cotton-elastic-girls-hair-band-newborn-ring-wrap-kids-hair-accessories-h226,Summer Watermelon Headbands DIY Cotton Elastic Girls Hair Band Newborn Ring Wrap Kids Hair Accessories H226,"<p><span><strong>Item Type:</strong> Headwear</span><br><span><strong>Type:</strong> Headbands</span><br><span><strong>Material:</strong> Polyester</span><br><span><strong>Material:</strong> COTTON</span><br><span><strong>Gender:</strong> Girls</span><br><span><strong>Department Name:</strong> Children</span><br><span><strong>Model Number:</strong> H226</span><br><span><strong>Style:</strong> Fashion</span><br><span><strong>Pattern Type:</strong> Cartoon</span><br><span><strong>Brand Name:</strong> TWDVS</span><br><span><strong>Color:</strong> green,red,blue,black,grey,yellow,purple,while</span><br><span><strong>Package:</strong> opp bag package or card package</span><br><span><strong>Women:</strong> Children's gifts,baby accessories,birthday party</span><br><span><strong>Free Shipping:</strong> Hair elastic</span><br><span><strong>Newborn Baby 0-7years:</strong> Baby Headband</span><br><span><strong>Rabbit Ears:</strong> Hair Accessories</span><br><span><strong>Baby Girls Hair Band:</strong> Elastic bands</span></p>",fantasticheadbands,,"","",true,Color,pineapple,,,,,25039686-pineapple,0.0,shopify,1049,continue,manual,3.70,3.70,true,false,,https://cdn.shopify.com/s/files/1/0116/9060/6649/products/product-image-937139355.jpg?v=1575444162,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0116/9060/6649/products/product-image-937139362.jpg?v=1575444162,lb,,,,,active
summer-watermelon-headbands-diy-cotton-elastic-girls-hair-band-newborn-ring-wrap-kids-hair-accessories-h226,,,,,,,,,Strawberry,,,,,25039686-strawberry,0.0,shopify,1019,continue,manual,3.70,3.70,true,false,,https://cdn.shopify.com/s/files/1/0116/9060/6649/products/product-image-937139371.jpg?v=1575444162,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0116/9060/6649/products/product-image-937139363.jpg?v=1575444162,lb,,,,,
summer-watermelon-headbands-diy-cotton-elastic-girls-hair-band-newborn-ring-wrap-kids-hair-accessories-h226,,,,,,,,,Kiwi,,,,,25039686-kiwi,0.0,shopify,1057,continue,manual,3.70,3.70,true,false,,https://cdn.shopify.com/s/files/1/0116/9060/6649/products/product-image-937139364.jpg?v=1575444162,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0116/9060/6649/products/product-image-937139365.jpg?v=1575444162,lb,,,,,
summer-watermelon-headbands-diy-cotton-elastic-girls-hair-band-newborn-ring-wrap-kids-hair-accessories-h226,,,,,,,,,papaya,,,,,25039686-papaya,0.0,shopify,1089,continue,manual,3.70,3.70,true,false,,https://cdn.shopify.com/s/files/1/0116/9060/6649/products/product-image-937139370.jpg?v=1575444162,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0116/9060/6649/products/product-image-937139371.jpg?v=1575444162,lb,,,,,
summer-watermelon-headbands-diy-cotton-elastic-girls-hair-band-newborn-ring-wrap-kids-hair-accessories-h226,,,,,,,,,lemon,,,,,25039686-lemon,0.0,shopify,1068,continue,manual,3.70,3.70,true,false,,https://cdn.shopify.com/s/files/1/0116/9060/6649/products/product-image-937139395.jpg?v=1575444162,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0116/9060/6649/products/product-image-937139373.jpg?v=1575444162,lb,,,,,
summer-watermelon-headbands-diy-cotton-elastic-girls-hair-band-newborn-ring-wrap-kids-hair-accessories-h226,,,,,,,,,watermelon,,,,,25039686-watermelon,0.0,shopify,768,continue,manual,3.70,3.70,true,false,,https://cdn.shopify.com/s/files/1/0116/9060/6649/products/product-image-937139365.jpg?v=1575444162,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0116/9060/6649/products/product-image-937139375.jpg?v=1575444162,lb,,,,,
summer-watermelon-headbands-diy-cotton-elastic-girls-hair-band-newborn-ring-wrap-kids-hair-accessories-h226,,,,,,,,,Z09,,,,,25039686-z09,0.0,shopify,1098,continue,manual,3.70,3.70,true,false,,https://cdn.shopify.com/s/files/1/0116/9060/6649/products/product-image-937139386.jpg?v=1575444162,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0116/9060/6649/products/product-image-937139417.jpg?v=1575444162,lb,,,,,
summer-watermelon-headbands-diy-cotton-elastic-girls-hair-band-newborn-ring-wrap-kids-hair-accessories-h226,,,,,,,,,1,,,,,25039686-1,0.0,shopify,1092,continue,manual,3.70,3.70,true,false,,https://cdn.shopify.com/s/files/1/0116/9060/6649/products/product-image-937139390.jpg?v=1575444162,8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0116/9060/6649/products/product-image-937139361.jpg?v=1575444162,lb,,,,,
summer-watermelon-headbands-diy-cotton-elastic-girls-hair-band-newborn-ring-wrap-kids-hair-accessories-h226,,,,,,,,,2,,,,,25039686-2,0.0,shopify,1095,continue,manual,3.70,3.70,true,false,,https://cdn.shopify.com/s/files/1/0116/9060/6649/products/product-image-937139361.jpg?v=1575444162,9,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0116/9060/6649/products/product-image-937139366.jpg?v=1575444162,lb,,,,,
